课程号,课序号,课程名,开课系所,容量,选课人数,余量,总学时,学分,星期,节次,持续节次,上课地点,上课周次,教师号1,教师名1,教师号2,教师名2,面向学生
00L111T,01,戏剧表演基础,艺教中心,30,30,0,32,2,2,5,2,主校区天佑会堂音乐教室,1-16周,tw_ljy,刘景杨,,,
00L111T,02,戏剧表演基础,艺教中心,30,30,0,32,2,2,6,2,主校区天佑会堂音乐教室,1-16周,tw_ljy,刘景杨,,,
00L112T,01,影视摄像基础,艺教中心,50,50,0,32,2,3,5,2,主校区逸夫教学楼YF309,1-16周,tw_ljy,刘景杨,,,
00L115T,01,长笛演奏基础,艺教中心,30,30,0,32,2,2,4,2,主校区体育馆西侧乐团排练厅,1-16周,2645,郑彬,,,
00L123T,01,声乐演唱基础,艺教中心,30,30,0,32,2,3,5,2,主校区天佑会堂音乐教室,1-16周,70348,孙姗姗,,,
00L126T,01,键盘音乐艺术史,艺教中心,250,43,207,32,2,5,1,2,主校区第五教学楼东阶梯,1-16周,6432,何腾,,,
00L128T,01,电影大师研究—赵丹,艺教中心,160,81,79,16,1,3,4,2,主校区第五教学楼东阶梯,9-16周,tw_ljy,刘景杨,,,
00L129T,01,长笛演奏基础提高班,艺教中心,30,0,30,32,2,2,5,2,主校区体育馆西侧乐团排练厅,1-16周,2645,郑彬,,,
00S010T,01,综合训练 I,选培办,67,0,67,32,2,3,1,2,主校区逸夫教学楼YF208,1-16周,xpb,选培办,,,
00S011T,01,综合训练 II,选培办,88,0,88,32,2,3,1,2,主校区思源西楼SX402,1-16周,xpb,选培办,,,
00S012T,01,综合训练 III,选培办,70,0,70,32,2,3,1,2,主校区逸夫教学楼YF104,1-16周,xpb,选培办,,,
00S015T,01,国旗仪仗队训练,选培办,25,0,25,0,1,3,1,2,主校区机械楼Z109,1-16周,xpb,选培办,,,
00S048T,01,舞蹈训练,艺教中心,30,30,0,32,2,4,5,2,主校区体操房,1-16周,6302,刘姗,,,
00S052T,01,科技文献检索,其他部处,80,80,0,16,1,1,4,2,主校区思源东楼SD107,1-8周,6356,邓要武,,,
00S052T,02,科技文献检索,其他部处,80,80,0,16,1,1,6,2,主校区思源东楼SD107,1-8周,6356,邓要武,,,
00S052T,03,科技文献检索,其他部处,80,80,0,16,1,2,6,2,主校区思源东楼SD107,1-8周,6356,邓要武,,,
00S052T,04,科技文献检索,其他部处,80,80,0,16,1,4,6,2,主校区思源东楼SD107,1-8周,6356,邓要武,,,
00S052T,05,科技文献检索,其他部处,80,34,46,16,1,1,4,2,主校区思源东楼SD107,9-16周,6356,邓要武,,,
00S052T,06,科技文献检索,其他部处,80,80,0,16,1,1,6,2,主校区思源东楼SD107,9-16周,6356,邓要武,,,
